district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
060162080170000,533.2,530.9,1064.1,101713.0,17123.61,95.5,2.0,5.4,48.14,39.3,51.86,3.1,0.0,49.9,IL,1647.5
060162090170000,435.1,418.8,853.9000000000001,75174.0,17021.14,80.1,0.7,34.5,48.57,61.1,51.43,1.2,0.0,2.4,IL,4706.66
060162120160000,457.4,447.6,905.0,104520.0,25858.69,82.2,2.7,1.3,47.78,70.8,52.22,0.7,0.3,24.0,IL,3439.0
060162340160000,486.6,470.7,957.3,95172.0,21252.09,97.1,9.7,0.0,49.14,26.8,50.86,1.8,0.0,61.4,IL,838.38
060164010260000,469.1,467.3,936.4000000000001,78660.0,14387.47,88.0,2.4,1.8,48.37,60.2,51.63,1.3,0.0,33.9,IL,2804.325
070162050170000,416.5,400.8,817.3,89004.0,23822.48,75.6,0.6,80.9,48.58,16.1,51.42,1.8,0.0,0.5,IL,4768.0
070162060170000,430.8,404.7,835.5,81100.0,17427.64,85.1,0.0,44.7,47.13,43.2,52.87,4.8,0.3,6.7,IL,2933.5
070162100170000,530.0,529.4,1059.4,86953.0,18628.64,93.7,4.8,1.0,48.04,11.5,51.96,3.1,0.0,79.6,IL,1362.5
070162150170000,438.6,413.5,852.1,102273.0,19773.05,86.5,0.6,64.5,50.03,25.2,49.97,2.5,0.0,6.8,IL,3352.0
070162170160000,450.3,455.8,906.1,113202.0,21321.23,88.8,1.6,10.0,47.56,54.6,52.44,2.7,0.0,31.0,IL,1929.5
070162180160000,449.5,443.4,892.9,101223.0,22133.31,82.4,1.3,24.5,47.42,42.2,52.58,2.6,0.0,29.3,IL,5408.25
070162200170000,458.7,448.3,907.0,105420.0,17829.0,88.9,1.6,1.8,47.73,61.1,52.27,2.3,0.0,33.3,IL,2001.0
070162270170000,418.5,397.5,816.0,87319.0,26906.11,83.3,0.4,84.2,47.73,9.7,52.27,4.4,0.0,1.3,IL,2653.0
070162280160000,447.1,433.0,880.1,98549.0,19785.3,86.2,2.3,36.1,48.18,31.1,51.82,4.1,0.0,26.2,IL,5155.48
070162290160000,461.6,459.1,920.7,96733.0,17038.31,92.1,2.0,5.8,46.1,38.9,53.9,0.8,0.0,52.0,IL,1854.75
070162300130000,508.7,500.2,1008.9,93669.0,18252.05,93.5,4.8,4.7,47.89,15.5,52.11,2.3,0.4,72.2,IL,7927.0
070162310160000,480.3,466.9,947.2,81707.0,19201.0,92.9,0.0,31.0,48.34,31.0,51.66,2.6,0.0,34.8,IL,939.5
